emprunter [qch] à [qqn]	to borrow [sb]'s [sth]
enclore [qch]	to enclose
encourager	to support/incite
encourager [qqn] à faire [qch]	to encourage [sb] to do [sth]
encourir	to risk
endormir	to get [sb] to sleep
s'endormir	to go to sleep
enduire	to coat
enfreindre [qch]	to break
s'enfuir	to flee
engager [qqn]	to take on/be [sb]'s opinion/deploy
engager [qch]	to start/pawn/move/invest
engager	to commit/kick off
engager [qqn] à [qch]	to encourage [sb] to do [sth]
s'engager dans [qch]	to join/engage in [sth]/enter
s'engager	to work/go into [sth]
enlever	to remove/rub out/take
s'enlever	to come off/go fast
enlever [qch]	to subtract
ennuyer	to bore/annoy
s'ennuyer	to get bored
énoncer	to state
s'enquérir	to make enquiries about
enregistrer [qch]	to record/take in/check/note/endure
enseigner [qch] à [qqn]	to teach [sb] [sth]
enseigner [qch]	to teach
enseigner	to teach
s'ensuivre	to ensue
entendre	to hear/listen to [sth]
s'entendre	to be used/hear each other/get on/include/understand each other
s'entendre avec [qqn]	to get on with [sb]
s'entendre sur [qch]	to agree on [sth]
enterrer	to bury/outlive
entraîner [qch]	to take/train
entraîner [qqn]	to take [sb] off/coach/incite
entraîner [qqn] à [qch]	to entail
s'entraîner	to train yourself
entreprendre	to start
entrer	to go in/be part of [sth]
entrer [qch]	to prick/enter
entretenir	to maintain/keep [sth] going/enjoy
s'entretenir	to be maintained/keep fit
s'entretenir avec [qqn]	to talk to [sb]
s'entretenir de [qch]	to discuss
entrouvrir	to half-open
s'entrouvrir	to half-open
s'envoler	to fly/blow away
envoyer	to send/refer
épeler	to spell
épouser	to wed/hug
s'épouser	to wed
éprouver	to have/test
équivaloir à	to amount to [sth]
espérer	to hope for [sth]
espérer que + [indicatif]	to hope + [indicative]
espérer faire [qch]	to hope to do [sth]
espérer en	to expect
essayer	to test/try out/give [sth] a try/try on
essayer de faire [qch]	to try to do [sth]
essuyer	to dry/suffer/bear
s'essuyer	to dry yourself
s'essuyer [qch]	to dry
estimer	to estimate the value of [sth]/esteem
estimer que	to feel
s'estimer	to think yourself
établir	to set up/create/establish
s'établir	to settle/be made/set yourself up as [sth]
éteindre	to put out/turn [sth] off
s'éteindre	to die
étendre	to spread/hang/stretch/expand/lay/thin
s'étendre	to stretch out/extend/expand on
étonner	to surprise
s'étonner	to be amazed
étourdir	to daze/overwhelm/make [sb] tipsy
s'étourdir	to be intoxicated/distract yourself
être	to be
étudier	to study/develop
s'étudier	to size each other up
évaluer	to reckon/assess
éviter	to avoid/prevent/stay away from [sth]/stay out of [sth]/steer clear of [sb]
s'éviter	to avoid each other
s'éviter [qch]	to save yourself [sth]
éviter [qch] à [qqn]	to avoid
exagérer	to overplay/amplify/go too far/overdo it
s'exagérer [qch]	to overstate [sth]
exclure	to get rid of [sth]/exclude/rule out/ignore
s'exclure	to leave
excuser [qqn]	to excuse
excuser [qqn] de/pour [qch]	to excuse [sb]'s [sth]
excuser [qch]	to excuse
s'excuser	to sorry/excuse
s'excuser de/pour [qch]	to say sorry for [sth]
exiger	to demand/need
exister	to exist/be real/count
expliquer	to explain ([sth] to [sb])/give a commentary on
s'expliquer	to explain/talk [sth] over
explorer	to explore/examine
exprimer [qch]	to show/convert
s'exprimer	to express yourself/be expressed
fâcher	to anger
se fâcher contre [qqn]	to argue with [sb]
se fâcher	to argue
se fâcher avec [qqn]	to argue with [sb]
faiblir	to wane/sap
avoir failli faire [qch]	to almost did [sth]
faire	to do/make/cause/turn into/study/be/say/measure/last/look/create/clean/imitate
faire [qch] à	to sell
faire faire [qch]	to have [sth] done
se faire	to happen/be the done thing/stretch
se faire [qch]	to make yourself [sth]
se faire + [infinitif]	to be + [past participle]
se faire [qqn]	to become
se faire faire [qch]	to have [sth] done
se faire à [qch]	to get used to [sth]
faire du [qqn]	to copy
falloir [qch]	to be needed
falloir que [qch] fasse [qch]	to have to do [sth]
falloir	to must/should
falloir + [durée]	to take + [duration]
feindre	to simulate
féliciter	to congratulate
se féliciter de	to be pleased with yourself
fendre	to chop
se fendre	to crack/be split
se fendre [qch]	to split
fermer	to shut/turn off/close off/demarcate
se fermer	to shut
feuilleter [qch]	to skim/make puff pastry
se fier	to trust
se fier à	to judge by/rely on
finir	to finish/end
finir de faire [qch]	to stop doing [sth]
fixer	to fix/stabilize/set/contain
fixer [qch] à [qch]	to fix [sth] to [sth]
se fixer	to attach/stabilize
se fixer à [qch]	to be fixed to [sth]
se fixer [qch]	to set yourself [sth]
fonder	to found
fonder [qch] sur [qch]	to base [sth] on [sth]
se fonder sur [qch]	to be based on
fondre	to melt/dissolve/merge
se fondre dans [qch]	to melt into [sth]
se fondre	to merge
forcer	to come under strain/demand
forcer sur [qch]	to force
se forcer	to make yourself
fouiller	to search/rummage through/rack your brains
fournir [qqn]	to supply
fournir [qch] à [qqn]	to supply
fournir [qch]	to give
se fournir	to get
frapper	to hit/knock/chill/mint
frémir	to shake
frire	to fry
fuir	to flee/leak/shun
fumer	to steam
gagner [qch]	to win/make a profit of [sth]/gain/spread to [sth]/reach/save
gagner	to win
gagner [qqn]	to overcome
garder	to keep/save/mind/guard
se garder	to keep
se garder de faire [qch]	to refrain from doing [sth]
gaspiller	to waste
